x, y
-5, 101.2472647702407
-4.557522123893805, 100.89715536105032
-4.557522123893805, 100.89715536105032
-4.092920353982301, 100.63457330415756
-3.495575221238937, 100.45951859956236
-2.964601769911504, 100.28446389496717
-2.3672566371681416, 99.97811816192561
-1.946902654867256, 99.62800875273523
-1.0398230088495577, 99.36542669584244
-0.44247787610619493, 99.80306345733041
-0.04424778761061976, 100.15317286652079
0.9070796460177002, 100.32822757111597
1.6150442477876101, 101.2035010940919
2.345132743362832, 102.03501094091904
2.9203539823008846, 102.91028446389497
4.0929203539823025, 103.52297592997812
4.823008849557523, 104.00437636761488
5.7522123893805315, 104.57330415754923
6.902654867256636, 104.66083150984683
7.500000000000002, 103.12910284463895
7.964601769911505, 102.07877461706784
8.960176991150442, 102.60393873085339
9.867256637168142, 102.82275711159737
10.9070796460177, 103.7417943107221
11.924778761061948, 103.91684901531728
